message_id,message_text,message_length,word_count,num_urls,num_digits,num_special_chars,spam_keyword_score,legit_keyword_score,sender_activity_score,sender_account_age_days,messages_sent_last_24h,timestamp,hour_of_day,day_of_week,spam_label
901127,You've been selected for a cash prize of free gift cards limited time! https://tinyurl.com/7781,95,14,1,4,1,3,0,42.9,29.0,20.0,2025-10-25 19:00:00,19,5,1
900080,Congratulations! You have won exclusive bonus today only!,57,8,0,0,2,1,0,50.8,48.0,19.0,2025-11-26 18:00:00,18,2,1
903261,Here are the notes from today's discussion. 10:30 AM. Let me know.,66,12,0,4,0,0,1,37.2,290.0,10.0,2025-11-03 14:00:00,14,0,0
901737,"Hi, can we reschedule our meeting to Friday evening. Appreciate it. https://company.portal/docs/9296",100,12,1,4,0,0,2,48.9,685.0,2.0,2025-10-30 14:00:00,14,3,0
904527,"Hi, can we reschedule our meeting to the quarterly review. Please confirm.",74,12,0,0,0,0,2,53.4,581.0,2.0,2025-11-28 23:00:00,23,4,0
903594,Could you review the document and share feedback? next Monday. Let me know.,75,13,0,0,0,0,1,26.4,204.0,,2025-11-07 06:00:00,6,4,0
904047,Earn money from home instantly exclusive bonus today only! http://promo.example/6713,84,10,1,4,1,1,0,69.3,123.0,23.0,2025-11-06 07:00:00,7,3,1
902893,Limited offer! Get a brand new phone before it expires! http://bit.ly/9103,74,11,1,4,2,1,0,53.2,145.0,12.0,2025-12-14 13:00:00,13,6,1
900722,Act fast! Your account will be suspended unless free gift cards ASAP! https://tinyurl.com/2297,94,13,1,4,2,1,0,38.6,82.0,17.0,2025-12-12 04:00:00,4,4,1
904308,Here are the notes from today's discussion. next Monday. Thanks.,64,10,0,0,0,0,1,64.2,459.0,3.0,2025-12-12 07:00:00,7,4,0
901593,Thanks for your help on the project update. Friday evening. Thanks.,67,11,0,0,0,0,1,13.9,653.0,1.0,2025-12-11 15:00:00,15,3,0
901345,"Click here to verify your account ₹50,000 ASAP! http://promo.example/6727",73,9,1,9,1,2,0,64.2,87.0,23.0,2025-11-29 15:00:00,15,5,1
902616,Thanks for your help on the project update. the updated proposal. Regards.,74,12,0,0,0,0,1,44.7,245.0,7.0,2025-11-11 08:00:00,8,1,0
903548,Thanks for your help on the project update. the quarterly review. Please confirm.,81,13,0,0,0,0,1,56.8,350.0,4.0,2025-11-19 05:00:00,5,2,0
902188,Click here to verify your account a brand new phone limited time! https://tinyurl.com/2136,90,13,1,4,1,2,0,45.5,50.0,21.0,2025-12-05 17:00:00,17,4,1
904220,Please find the attached invoice for 10:30 AM. Please confirm.,62,10,0,4,0,0,1,23.2,643.0,9.0,2025-11-19 18:00:00,18,2,0
903662,You are eligible for a refund of free gift cards limited time!,62,12,0,0,1,1,0,21.9,9.0,22.0,2025-11-02 21:00:00,21,6,1
901596,"Earn money from home instantly ₹50,000 ASAP! http://promo.example/6235",70,8,1,9,1,0,0,36.8,8.0,24.0,2025-12-14 23:00:00,23,6,1
904748,Congratulations! You have won exclusive bonus now! http://promo.example/6614,76,8,1,4,2,1,0,34.1,56.0,14.0,2025-12-12 09:00:00,9,4,1
900024,You've been selected for a cash prize of exclusive bonus today only!,68,12,0,0,1,3,0,61.6,42.0,21.0,2025-11-26 11:00:00,11,2,1
901484,URGENT: Claim your reward now instant cashback ASAP! https://tinyurl.com/3261,77,9,1,4,1,3,0,57.6,11.0,20.0,2025-11-21 21:00:00,21,4,1
904989,Please find the attached invoice for the updated proposal. Thanks.,66,10,0,0,0,0,1,61.7,102.0,7.0,2025-12-14 07:00:00,7,6,0
900585,Could you review the document and share feedback? 10:30 AM. Regards.,68,11,0,4,0,0,1,56.1,467.0,7.0,2025-11-18 16:00:00,16,1,0
902466,Your order has been shipped and will arrive by next Monday. Let me know.,72,14,0,0,0,0,1,67.5,294.0,10.0,2025-12-01 06:00:00,6,0,0
902823,"Hi, can we reschedule our meeting to the quarterly review. Appreciate it. https://company.portal/docs/4465",106,13,1,4,0,0,2,43.8,416.0,6.0,2025-11-28 15:00:00,15,4,0
902352,Click here to verify your account free gift cards today only! http://bit.ly/9044,80,12,1,4,1,3,0,41.7,59.0,20.0,2025-12-23 07:00:00,7,1,1
903459,Payment received successfully for your subscription. next Monday. Regards.,74,9,0,0,0,0,1,45.1,297.0,7.0,2025-11-28 13:00:00,13,4,0
904869,Please find the attached invoice for the updated proposal. Please confirm.,74,11,0,0,0,0,1,78.9,384.0,6.0,2025-11-21 00:00:00,0,4,0
904968,Can you send the report by end of day? the updated proposal. Let me know.,73,15,0,0,0,0,1,51.8,247.0,8.0,2025-11-05 11:00:00,11,2,0
902811,Here are the notes from today's discussion. 10:30 AM. Regards.,62,10,0,4,0,0,1,28.4,911.0,6.0,2025-12-05 22:00:00,22,4,0
902293,You've been selected for a cash prize of a brand new phone limited time!,72,14,0,0,1,2,0,37.2,264.0,16.0,2025-11-19 09:00:00,9,2,1
902030,Please find the attached invoice for Friday evening. Please confirm.,68,10,0,0,0,0,1,88.9,202.0,7.0,2025-12-07 16:00:00,16,6,0
902211,"Get rich quick with this simple trick ₹50,000 now! http://promo.example/7395",76,10,1,9,1,0,0,58.4,17.0,18.0,2025-11-21 16:00:00,16,4,1
900625,Here are the notes from today's discussion. Friday evening. Regards.,68,10,0,0,0,0,1,67.0,578.0,13.0,2025-11-24 20:00:00,20,0,0
902886,Please find the attached invoice for the updated proposal. Let me know.,71,12,0,0,0,0,1,71.5,120.0,5.0,2025-11-19 05:00:00,5,2,0
900169,Congratulations! You have won free gift cards now!,50,8,0,0,2,1,0,53.2,67.0,10.0,2025-11-13 20:00:00,20,3,1
904304,Thanks for your help on the project update. Friday evening. Appreciate it.,74,12,0,0,0,0,1,76.9,430.0,,2025-10-27 23:00:00,23,0,0
903929,Can you send the report by end of day? next Monday. Please confirm.,67,13,0,0,0,0,1,49.2,356.0,8.0,2025-12-05 11:00:00,11,4,0
900423,"You've been selected for a cash prize of ₹50,000 limited time!",62,11,0,5,1,2,0,53.3,22.0,21.0,2025-12-20 01:00:00,1,5,1
902270,Reminder: your appointment is confirmed for the quarterly review. Thanks.,73,10,0,0,0,0,1,85.6,552.0,9.0,2025-11-01 01:00:00,1,5,0
903680,"Hi, can we reschedule our meeting to the quarterly review. Let me know.",71,13,0,0,0,0,2,73.4,154.0,6.0,2025-11-02 17:00:00,17,6,0
901232,Congratulations! You have won a brand new phone ASAP! http://promo.example/3056,79,10,1,4,2,0,0,51.4,22.0,23.0,2025-11-15 20:00:00,20,5,1
900655,Could you review the document and share feedback? next Monday. Regards.,71,11,0,0,0,0,1,93.5,73.0,5.0,2025-12-20 21:00:00,21,5,0
900280,Let's catch up tomorrow regarding the timeline. Friday evening. Appreciate it.,78,11,0,0,0,0,0,,83.0,10.0,2025-11-22 14:00:00,14,5,0
905195,Let's catch up tomorrow regarding the timeline. next Monday. Please confirm. https://company.portal/docs/7363,109,12,1,4,0,0,0,63.6,192.0,7.0,2025-12-10 16:00:00,16,2,0
903498,Could you review the document and share feedback? the quarterly review. Let me know.,84,14,0,0,0,0,1,70.2,665.0,6.0,2025-11-18 20:00:00,20,1,0
900801,Thanks for your help on the project update. next Monday. Regards. https://company.portal/docs/5068,98,12,1,4,0,0,1,64.0,198.0,6.0,2025-12-19 23:00:00,23,4,0
903291,Reminder: your appointment is confirmed for 10:30 AM. Let me know.,66,11,0,4,0,0,1,45.2,97.0,7.0,2025-12-22 13:00:00,13,0,0
900953,Thanks for your help on the project update. 10:30 AM. Please confirm.,69,12,0,4,0,0,1,67.4,346.0,3.0,2025-11-18 07:00:00,7,1,0
904551,Thanks for your help on the project update. next Monday. Regards.,65,11,0,0,0,0,1,47.6,358.0,,2025-11-04 03:00:00,3,1,0
903455,Let's catch up tomorrow regarding the timeline. next Monday. Appreciate it.,75,11,0,0,0,0,0,77.2,285.0,5.0,2025-11-25 12:00:00,12,1,0
900834,Thanks for your help on the project update. Friday evening. Let me know. https://company.portal/docs/3733,105,14,1,4,0,0,1,33.1,231.0,4.0,2025-12-04 10:00:00,10,3,0
903089,Reminder: your appointment is confirmed for 10:30 AM. Regards.,62,9,0,4,0,0,1,33.5,216.0,5.0,2025-11-16 01:00:00,1,6,0
905069,You've been selected for a cash prize of free gift cards before it expires! http://promo.example/4827,101,15,1,4,1,3,0,61.0,43.0,11.0,2025-10-30 17:00:00,17,3,1
901362,Please find the attached invoice for 10:30 AM. Regards.,55,9,0,4,0,0,1,59.2,607.0,2.0,2025-12-14 20:00:00,20,6,0
901261,Thanks for your help on the project update. Friday evening. Regards.,68,11,0,0,0,0,1,60.4,740.0,4.0,2025-11-01 11:00:00,11,5,0
901666,Thanks for your help on the project update. 10:30 AM. Please confirm.,69,12,0,4,0,0,1,86.5,202.0,7.0,2025-12-11 03:00:00,3,3,0
905175,Let's catch up tomorrow regarding the timeline. the quarterly review. Appreciate it.,84,12,0,0,0,0,0,58.9,123.0,8.0,2025-12-21 07:00:00,7,6,0
900643,Reminder: your appointment is confirmed for 10:30 AM. Regards.,62,9,0,4,0,0,1,67.2,389.0,5.0,2025-10-31 01:00:00,1,4,0
904252,Limited offer! Get a brand new phone now!,41,8,0,0,2,1,0,91.2,141.0,21.0,2025-12-22 15:00:00,15,0,1
904969,Click here to verify your account a brand new phone now! http://promo.example/6564,82,12,1,4,1,2,0,31.3,65.0,17.0,2025-11-17 21:00:00,21,0,1
900374,Act fast! Your account will be suspended unless free gift cards limited time!,77,13,0,0,2,1,0,56.0,212.0,18.0,2025-11-27 02:00:00,2,3,1
903050,Thanks for your help on the project update. Friday evening. Regards.,68,11,0,0,0,0,1,72.3,395.0,3.0,2025-10-28 07:00:00,7,1,0
903162,Thanks for your help on the project update. Friday evening. Thanks.,67,11,0,0,0,0,1,68.0,349.0,8.0,2025-11-26 06:00:00,6,2,0
905167,Please find the attached invoice for 10:30 AM. Appreciate it.,61,10,0,4,0,0,1,41.7,471.0,4.0,2025-11-13 04:00:00,4,3,0
900473,Can you send the report by end of day? the quarterly review. Thanks.,68,13,0,0,0,0,1,42.7,186.0,9.0,2025-12-05 16:00:00,16,4,0
901703,Earn money from home instantly exclusive bonus now!,51,8,0,0,1,1,0,55.7,33.0,28.0,2025-11-12 02:00:00,2,2,1
901050,Could you review the document and share feedback? next Monday. Appreciate it.,77,12,0,0,0,0,1,71.3,465.0,6.0,2025-11-13 12:00:00,12,3,0
902776,Here are the notes from today's discussion. next Monday. Please confirm.,72,11,0,0,0,0,1,37.6,145.0,2.0,2025-12-15 22:00:00,22,0,0
904749,Reminder: your appointment is confirmed for 10:30 AM. Let me know.,66,11,0,4,0,0,1,61.8,182.0,7.0,2025-12-06 02:00:00,2,5,0
902223,Could you review the document and share feedback? the quarterly review. Please confirm.,87,13,0,0,0,0,1,62.6,1059.0,7.0,2025-12-11 21:00:00,21,3,0
902918,Reminder: your appointment is confirmed for Friday evening. Regards.,68,9,0,0,0,0,1,26.7,435.0,4.0,2025-12-11 08:00:00,8,3,0
904450,Could you review the document and share feedback? next Monday. Let me know. https://company.portal/docs/5281,108,14,1,4,0,0,1,31.6,118.0,7.0,2025-11-26 16:00:00,16,2,0
904611,Your order has been shipped and will arrive by 10:30 AM. Thanks.,64,12,0,4,0,0,1,73.3,325.0,7.0,2025-11-16 14:00:00,14,6,0
902659,Exclusive deal just for you instant cashback ASAP!,50,8,0,0,1,1,0,48.6,61.0,16.0,2025-11-01 18:00:00,18,5,1
904568,You are eligible for a refund of exclusive bonus now! http://promo.example/5794,79,11,1,4,1,1,0,38.0,39.0,25.0,2025-12-04 22:00:00,22,3,1
902806,"Hi, can we reschedule our meeting to the quarterly review. Let me know.",71,13,0,0,0,0,2,82.7,378.0,4.0,2025-12-14 23:00:00,23,6,0
901621,"Congratulations! You have won ₹50,000 now!",42,6,0,5,2,0,0,63.9,,19.0,2025-12-04 13:00:00,13,3,1
904911,Act fast! Your account will be suspended unless instant cashback ASAP! http://promo.example/9211,96,12,1,4,2,1,0,51.4,8.0,18.0,2025-10-26 13:00:00,13,6,1
904715,Your order has been shipped and will arrive by Friday evening. Please confirm.,78,13,0,0,0,0,1,47.8,374.0,4.0,2025-12-13 03:00:00,3,5,0
904849,"Click here to verify your account ₹50,000 today only! https://tinyurl.com/9615",78,10,1,9,1,2,0,64.3,18.0,25.0,2025-12-17 18:00:00,18,2,1
904309,Here are the notes from today's discussion. next Monday. Regards.,65,10,0,0,0,0,1,83.8,298.0,3.0,2025-12-10 04:00:00,4,2,0
905196,Thanks for your help on the project update. the quarterly review. Thanks.,73,12,0,0,0,0,1,23.1,262.0,5.0,2025-10-28 13:00:00,13,1,0
902630,Thanks for your help on the project update. 10:30 AM. Thanks.,61,11,0,4,0,0,1,61.2,217.0,3.0,2025-11-09 11:00:00,11,6,0
901943,You are eligible for a refund of free gift cards now! http://promo.example/3619,79,12,1,4,1,1,0,26.5,153.0,21.0,2025-12-03 16:00:00,16,2,1
901554,Your order has been shipped and will arrive by 10:30 AM. Let me know.,69,14,0,4,0,0,1,59.1,459.0,8.0,2025-10-27 17:00:00,17,0,0
901838,Here are the notes from today's discussion. next Monday. Please confirm.,72,11,0,0,0,0,1,56.2,168.0,6.0,2025-12-05 11:00:00,11,4,0
904432,Let's catch up tomorrow regarding the timeline. the quarterly review. Thanks.,77,11,0,0,0,0,0,51.2,396.0,9.0,2025-11-23 00:00:00,0,6,0
903274,Payment received successfully for your subscription. the quarterly review. Thanks.,82,10,0,0,0,0,1,36.5,457.0,10.0,2025-12-03 19:00:00,19,2,0
